,episode_id,episodenbr,title,views,share,appreciation,chart,summary,date,doctorid,rating,votes,description,season,has_9,has_10,has_11,has_12,has_13,day_Mon,day_Sat,day_Sun,day_Tue
109,9.01,814,The Magician's Apprentice,6.54,26.3,84.0,13,"
Where is the Doctor? When the skies of Earth are frozen by a mysterious alien force, Clara needs her friend. But where is the Doctor, and what is he hiding from?


As past deeds come back to haunt him, old enemies will come face-to-face, and for the Doctor and Clara survival seems impossible.",2015-09-19,12,8.5,4716,"When the skies of Earth are frozen by a mysterious alien force, Clara needs her friend, the Doctor. But where is he and what is he hiding from?",9,0,0,0,1,0,0,1,0,0
110,9.02,815,The Witch's Familiar,5.71,22.9,83.0,24,"Trapped and alone on the terrifying planet Skaro, the Doctor is at the heart of the evil Dalek Empire - no sonic, no TARDIS, nobody to help. With his greatest temptation before him, can the Doctor resist? And will there be mercy?",2015-09-26,12,8.5,4109,"Trapped and alone in a terrifying Dalek city, the Doctor is at the heart of an evil Empire; no sonic, no TARDIS, nobody to help. With his greatest temptation before him, can the Doctor resist? And will there be mercy?",9,0,0,0,1,0,0,1,0,0
111,9.03,816,Under the Lake,5.63,22.0,84.0,22,"When an Underwater Base comes under attack, the Doctor and Clara must save the frightened crew and defeat an impossible threat. But what is behind these terrifying events? And can they really be haunted by ghosts?",2015-10-03,12,8.3,3931,"Under a lake a gleaming black spaceship is recovered but there is nothing inside. When the base crew start dying, they discover that ghosts are real. The Doctor and Clara arrive to find the base under siege and the Doctor discovers that this is more than a ghost story.",9,0,0,0,1,0,0,1,0,0
112,9.04,817,Before The Flood,6.05,26.7,82.0,21,"On a remote Army outpost, a fearsome alien warlord - the Fisher King - sets in motion a twisted plan to ensure his own survival. The ripples will be felt around the universe. Is this chain of events inevitable? And can the Doctor do the unthinkable?",2015-10-10,12,8.1,3651,"In a town that never was, the Doctor and his friends are being stalked by a mysterious figure. With the past and future in the balance, can the Doctor stop the evil Fisher King? And more importantly, who composed Beethoven's 5th.",9,0,0,0,1,0,0,1,0,0
113,9.05,818,The Girl Who Died,6.56,28.1,82.0,18,"Captured by Vikings, the Doctor and Clara must help protect their village from Space Warriors from the future: the Mire. Outnumbered and outgunned, their fate seems inevitable. So why is the Doctor preoccupied with a single Viking girl?",2015-10-17,12,7.7,3733,"In a Viking village, a girl named Ashildr is about to make a desperate mistake. The Mire are the deadliest mercenaries in the galaxy, famed for showing no mercy and Ashildr has just declared war on them. The Doctor and Clara have 12 hours to turn a peaceful village into strong fighters, ready for the deadly Mire.",9,0,0,0,1,0,0,1,0,0
114,9.06,819,The Woman Who Lived,6.11,24.4,81.0,25,"England, 1651. The deadly Highwayman 'The Nightmare' and his sidekick stalk the dark streets of London. But when they find loot that's not of this world, they come face to face with The Doctor.

Who is the Nightmare in league with? And can the Doctor avoid the hangman's noose and protect Earth from a devilish betrayal?",2015-10-24,12,7.6,3610,"England, 1651. A deadly highwayman known only as 'The Knightmare' plagues the dark streets of London, his fire-breathing accomplice by his side. There's something clearly more than human here, and that includes the loot as much as the outlaws. Who are these creatures, and are they enemies to be fought, or friends who might possibly save the Doctor from certain doom on the gallows?",9,0,0,0,1,0,0,1,0,0
115,9.07,820,The Zygon Invasion,5.76,24.3,82.0,24,"The Zygons, a race of shapeshifting aliens, have been living in secret among us on Earth, unknown and unseen - until now!


When Osgood is kidnapped by a rogue gang of Zygons, the Doctor, Clara and UNIT must scatter across the world in a bid to set her free. But will they reach her in time, and can they stop an uprising before it’s too late?
",2015-10-31,12,7.9,3454,"The fragile peace between the Humans and the Zygons is on a knife edge. Tensions run high as factions within the Zygon community seek to incite violent action against Humans. Called in by UNIT, the Doctor and Clara fight to bring the situation under control. But one question remains: Where on Earth is Osgood?",9,0,0,0,1,0,0,1,0,0
116,9.08,821,The Zygon Inversion,6.03,25.1,84.0,24,"Shapeshifting Zygons are everywhere in the UK, and there is no way of knowing who to trust. With UNIT neutralised, only the Doctor stands in their way. But how do you stop a war? And what can the Doctor do to save his friends?",2015-11-07,12,8.6,3775,"With the Zygons invading England, and UNIT neutralized, the Doctor stands alone to stop the Zygons from taking over the entire planet. But how can he stop the Zygons? And how can he save his friends?",9,0,0,0,1,0,0,1,0,0
117,9.09,822,Sleep No More,5.61,22.6,78.0,28,This terrifying story is assembled from footage discovered in the wreckage of Le Verrier Space Station.,2015-11-14,12,6.0,3866,"Vision recovered from the wreckage of Le Verrier Space Station shows how the Doctor and Clara became entangled in a rescue mission. As the footage plays out, a horrifying secret is uncovered.",9,0,0,0,1,0,0,1,0,0
118,9.1,823,Face The Raven,6.06,23.9,84.0,30,"The Doctor and Clara, with their old friend Rigsy, find themselves in a magical alien world, hidden on a street in the heart of London.


Sheltered within are some of the most fearsome creatures of the universe… and Ashildr (Maisie Williams)! With a death sentence hanging over their heads, not all of the intruders will get out alive.
",2015-11-21,12,8.6,4224,"The Doctor and Clara are called back to earth when Rigsy discovers a strange tattoo on the back of his neck that appears to be counting down to zero. Their investigation leads them to a hidden street in the middle of London, the discovery that Rigsy has been issued a death sentence, and one of them facing the choice of having to make the ultimate sacrifice; to face the Raven!",9,0,0,0,1,0,0,1,0,0
